date,AAPL,GOOGL,MSFT
2016-07-25,94.2674,757.68,53.5983
2016-07-26,92.8954,757.52,53.6458
2016-07-27,100.0386,758.97,53.7312
2016-07-28,98.6618,768.84,53.1522
2016-07-29,99.9667,797.71,53.399
2016-08-01,100.1777,786.67,53.7217
2016-08-02,101.7513,797.33,53.959
2016-08-03,100.5615,796.47,53.7976
2016-08-04,101.8491,798.24,53.9115
2016-08-05,102.5147,800.11,54.7183
2016-08-08,103.7205,806.0,55.1027
2016-08-09,104.4054,804.49,55.2119
2016-08-10,104.8685,807.05,55.2024
2016-08-11,104.6852,810.47,55.079
2016-08-12,103.9713,805.09,55.079
2016-08-15,104.3186,807.21,55.06
2016-08-16,105.756,803.5,55.0211
2016-08-17,105.2447,800.0,54.9543
2016-08-18,105.3701,805.36,54.8397
2016-08-19,104.9264,799.79,54.8492
2016-08-22,105.0132,798.51,55.0116
2016-08-23,104.7527,800.48,55.2981
2016-08-24,104.7286,796.86,55.2026
2016-08-25,103.5951,792.0,55.279
2016-08-26,103.6144,792.49,55.661
2016-08-29,102.8523,793.05,55.5655
2016-08-30,102.0613,792.88,55.3745
2016-08-31,101.9263,789.6,55.0593
2016-09-01,102.3893,791.98,54.4481
2016-09-02,103.8942,795.27,55.0784
2016-09-06,104.0871,798.39,55.1835
2016-09-07,104.0196,807.93,54.8874
2016-09-08,103.4601,805.22,55.0402
2016-09-09,100.9423,798.77,54.238
2016-09-12,99.0226,784.52,53.4835
2016-09-13,103.7109,794.01,53.961
2016-09-14,104.8878,787.53,53.856
2016-09-15,109.8365,790.01,53.6267
2016-09-16,111.052,799.02,55.0402
2016-09-19,111.1195,801.11,54.6964
2016-09-20,109.0551,800.0,54.7728
2016-09-21,109.8268,801.26,54.9256
2016-09-22,110.3092,810.0,55.3172
2016-09-23,110.3767,815.14,55.2695
2016-09-26,107.6949,809.82,54.515
2016-09-27,109.0069,801.83,54.3717
2016-09-28,109.6725,804.08,55.279
2016-09-29,109.1612,807.23,55.2122
2016-09-30,108.486,803.6,54.9829
2016-10-03,108.7271,802.55,54.8254
2016-10-04,109.0648,805.0,54.6964
2016-10-05,109.3927,806.0,54.7155
2016-10-06,109.6821,804.08,55.1453
2016-10-07,110.2706,805.93,55.2504
2016-10-10,110.9555,803.93,55.3077
2016-10-11,113.5408,814.17,55.2886
2016-10-12,113.2032,811.96,54.5436
2016-10-13,112.6629,806.07,54.152
2016-10-14,113.7144,807.45,54.5532
2016-10-17,113.1839,805.99,54.7824
2016-10-18,114.0038,814.21,54.9447
2016-10-19,113.1067,824.52,54.8874
2016-10-20,112.7305,827.56,54.9161
2016-10-21,112.6822,820.0,57.5712
2016-10-24,112.962,830.09,57.2464
2016-10-25,113.782,838.5,58.1155
2016-10-26,110.2706,827.12,58.0773
2016-10-27,111.3124,823.01,57.8863
2016-10-28,109.8461,829.94,57.3133
2016-10-31,109.6339,822.43,57.4565
2016-11-01,109.4506,810.87,57.2751
2016-11-02,107.4634,806.76,57.1318
