Age,Gender,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
16,All,14605,14496,16093,17872,19670,19431,18034,17219,19308,16128,14135,14531,14524,17406,18394,19583,19563,18758,19480,19197,19038,19524,20254,19783,20012,20547,21129,21310,20785,20696,20217,19713,18965,19172,18891,20552,21227,22096,22498,22504,21674,21587,21562,21296,20598,20022,19871,19966,20489,20568
16,Female,7483,7263,7960,9114,9320,9385,8906,8598,9618,7996,6936,7154,7342,8719,8731,9429,9355,8900,9203,9490,9227,9106,9738,9581,9613,9969,10062,10333,10342,9987,9935,9634,9302,9396,9374,9965,10441,10872,10855,11023,10612,10677,10535,10506,10018,9839,9647,9787,9923,10125
16,Male,7122,7233,8133,8758,10350,10046,9128,8621,9690,8132,7199,7377,7182,8687,9663,10154,10208,9858,10277,9707,9811,10418,10516,10202,10399,10578,11067,10977,10443,10709,10282,10079,9663,9776,9517,10587,10786,11224,11643,11481,11062,10910,11027,10790,10580,10183,10224,10179,10566,10443
17,All,15928,15252,15019,16507,18484,19958,19607,18223,17423,19479,16473,14140,14603,14476,17412,18659,19999,20479,19372,20227,19685,18993,20013,20560,19998,20154,20728,21112,21336,20829,20603,20196,19839,18964,19088,18906,20484,21004,21794,22029,22081,21329,21186,20896,20543,20082,19655,19598,19815,20361
17,Female,8373,7773,7496,8143,9394,9453,9465,9105,8694,9693,8088,6945,7182,7352,8767,8931,9546,9562,9019,9416,9702,8842,9381,9916,9671,9660,10028,9967,10266,10283,9837,9866,9592,9205,9236,9313,9857,10250,10637,10613,10786,10439,10486,10208,10140,9776,9656,9509,9719,9859
17,Male,7555,7479,7523,8364,9090,10505,10142,9118,8729,9786,8385,7195,7421,7124,8645,9728,10453,10917,10353,10811,9983,10151,10632,10644,10327,10494,10700,11145,11070,10546,10766,10330,10247,9759,9852,9593,10627,10754,11157,11416,11295,10890,10700,10688,10403,10306,9999,10089,10096,10502
18,All,15788,16729,15910,15543,17284,18842,20172,19878,18472,17639,20568,17151,14765,15078,15459,18274,19754,21358,22011,20525,21316,20722,19670,20693,21174,20610,20651,21241,21653,21945,20990,21430,20784,20435,19590,19546,19374,21035,21494,22286,21890,21966,21087,20674,20241,19984,19740,19341,19435,19680
18,Female,8444,8774,8104,7763,8535,9579,9569,9748,9235,8804,9848,8162,6966,7270,7485,8823,9366,9670,9767,9179,9663,10210,9082,9613,10023,9760,9601,10019,9967,10278,10010,9944,9818,9563,9183,9189,9192,9805,10151,10468,10549,10765,10324,10244,9888,9862,9610,9495,9433,9654
18,Male,7344,7955,7806,7780,8749,9263,10603,10130,9237,8835,10720,8989,7799,7808,7974,9451,10388,11688,12244,11346,11653,10512,10588,11080,11151,10850,11050,11222,11686,11667,10980,11486,10966,10872,10407,10357,10182,11230,11343,11818,11341,11201,10763,10430,10353,10122,10130,9846,10002,10026
19,All,16885,16516,17333,16391,16284,17616,19042,20443,20113,18671,18031,20249,17158,14720,15142,15252,18895,19517,21149,22248,20608,22252,21586,20652,21788,22165,21516,21705,22303,22791,23524,22642,22753,22151,21852,21013,20923,20851,22415,23108,22314,21853,21785,20633,20136,19698,19600,19442,19163,19297
19,Female,9117,8844,9109,8376,8170,8720,9693,9859,9877,9347,8945,9886,8346,7198,7462,7551,9023,9436,9690,9998,9376,10330,10244,9347,9851,10193,9836,9769,10228,10254,10525,10294,10024,9919,9675,9276,9246,9331,9888,10205,10538,10605,10680,10093,10018,9644,9682,9468,9414,9371
19,Male,7768,7672,8224,8015,8114,8896,9349,10584,10236,9324,9086,10363,8812,7522,7680,7701,9872,10081,11459,12250,11232,11922,11342,11305,11937,11972,11680,11936,12075,12537,12999,12348,12729,12232,12177,11737,11677,11520,12527,12903,11776,11248,11105,10540,10118,10054,9918,9974,9749,9926
20,All,15347,17806,17256,17932,17298,16697,17861,19330,20735,20354,19563,18473,20971,17765,15238,15480,16261,19000,19789,21485,22894,20744,21721,21249,20429,21586,22034,21371,21478,22149,21687,22032,21201,21247,20539,20276,19394,19275,19189,21068,23159,22320,21748,21335,20014,19646,19337,19295,19242,19017
20,Female,8498,9567,9198,9393,8808,8371,8840,10004,10002,9997,9594,9037,10241,8566,7441,7549,7550,9029,9572,9742,10294,10097,10509,10495,9617,10186,10569,10142,10110,10582,10563,10873,10706,10275,10130,9935,9580,9439,9529,10024,10280,10566,10590,10479,9814,9794,9487,9551,9383,9345
20,Male,6849,8239,8058,8539,8490,8326,9021,9326,10733,10357,9969,9436,10730,9199,7797,7931,8711,9971,10217,11743,12600,10647,11212,10754,10812,11400,11465,11229,11368,11567,11124,11159,10495,10972,10409,10341,9814,9836,9660,11044,12879,11754,11158,10856,10200,9852,9850,9744,9859,9672
21,All,17316,16158,18445,17767,18714,17660,16888,18128,19571,20939,19680,19188,18035,20688,17294,14603,15085,15403,18280,19202,21293,22691,21019,22113,21720,20797,22124,22648,22011,21816,22245,22272,22685,21852,21819,21009,20705,19912,19678,19758,21159,23224,21904,21351,20679,19484,19318,19058,19091,19091
21,Female,10255,8935,9927,9481,9826,9008,8486,9150,10142,10117,10176,9758,9233,10511,8775,7526,7652,7566,9127,9635,9961,10731,10260,10655,10724,9827,10523,10868,10554,10450,10958,10851,11200,11012,10569,10330,10146,9818,9606,9732,10092,10328,10544,10402,10186,9566,9663,9365,9462,9313
21,Male,7061,7223,8518,8286,8888,8652,8402,8978,9429,10822,9504,9430,8802,10177,8519,7077,7433,7837,9153,9567,11332,11960,10759,11458,10996,10970,11601,11780,11457,11366,11287,11421,11485,10840,11250,10679,10559,10094,10072,10026,11067,12896,11360,10949,10493,9918,9655,9693,9629,9778
22,All,15206,18601,17204,19266,19019,19287,17998,17185,18536,19921,20433,19982,19827,18501,21161,17728,15490,15329,15601,18902,20188,22030,23424,21710,22908,22498,21638,23067,23581,22805,22502,22921,22966,23297,22558,22521,21685,21351,20498,20082,19971,21251,22240,20825,20852,20101,19157,19027,18877,18932
22,Female,8748,10746,9350,10253,9968,10049,9146,8840,9314,10281,10349,10271,10110,9503,10746,9007,7574,7679,7610,9270,9782,10433,10953,10445,10928,10895,10156,10939,11291,10920,10802,11300,11149,11493,11297,10859,10587,10410,10094,9832,9858,10168,10349,10406,10214,9911,9425,9527,9304,9390
22,Male,6458,7855,7854,9013,9051,9238,8852,8345,9222,9640,10084,9711,9717,8998,10415,8721,7916,7650,7991,9632,10406,11597,12471,11265,11980,11603,11482,12128,12290,11885,11700,11621,11817,11804,11261,11662,11098,10941,10404,10250,10113,11083,11891,10419,10638,10190,9732,9500,9573,9542
23,All,16386,16784,19893,18220,20752,19739,19713,18330,17666,18959,20221,20773,20647,20749,19445,21991,18303,15686,15445,15908,19426,21047,22513,23783,22324,23248,23036,22353,23746,24245,23320,22935,23422,23444,23848,23155,22968,22105,21920,20952,20305,20022,20770,19901,20387,20382,19744,18886,18872,18700
23,Female,10001,9282,11195,9702,10771,10222,10191,9529,9008,9459,10474,10482,10527,10367,9812,11102,9105,7587,7708,7713,9453,10391,10689,11144,10690,11115,11130,10520,11371,11728,11223,11060,11555,11436,11773,11562,11160,10802,10678,10316,9941,9923,10131,10194,10216,10032,9748,9294,9480,9228
23,Male,6385,7502,8698,8518,9981,9517,9522,8801,8658,9500,9747,10291,10120,10382,9633,10889,9198,8099,7737,8195,9973,10656,11824,12639,11634,12133,11906,11833,12375,12517,12097,11875,11867,12008,12075,11593,11808,11303,11242,10636,10364,10099,10639,9707,10171,10350,9996,9592,9392,9472
24,All,15271,17680,17833,20729,19443,21329,20059,20013,18742,18025,19193,20444,21279,21211,21485,20048,22659,18454,15740,15829,16088,20166,21375,22829,24066,22556,23477,23385,22804,24172,24475,23603,23292,23788,23691,24193,23676,23346,22482,22167,21085,20246,19809,19494,19583,19938,20044,19465,18704,18737
24,Female,9707,10467,9667,11504,10153,10984,10342,10524,9681,9136,9611,10541,10719,10691,10673,9976,11361,9141,7605,7794,7857,9995,10587,10929,11336,10857,11248,11339,10876,11685,11887,11461,11314,11777,11624,11978,11837,11366,10988,10808,10364,9914,9869,9904,10003,10017,9894,9621,9216,9425
24,Male,5564,7213,8166,9225,9290,10345,9717,9489,9061,8889,9582,9903,10560,10520,10812,10072,11298,9313,8135,8035,8231,10171,10788,11900,12730,11699,12229,12046,11928,12487,12588,12142,11978,12011,12067,12215,11839,11980,11494,11359,10721,10332,9940,9590,9580,9921,10150,9844,9488,9312
25,All,15158,16231,18450,18433,21654,19861,21566,20291,20314,18997,18334,19398,20778,21816,21662,21989,20413,22783,18544,15858,15916,16391,20402,21601,22961,24154,22604,23445,23567,23017,24262,24572,23780,23535,23928,23965,24388,24063,23609,22445,22234,20944,20029,18987,19104,19313,19648,19796,19294,18543
25,Female,9723,10093,10781,9927,11885,10331,11092,10616,10649,9789,9251,9669,10702,10990,10863,10946,10079,11434,9180,7679,7885,8126,10156,10729,11039,11496,10911,11368,11526,11089,11796,12033,11612,11474,11921,11804,12104,12018,11530,11035,10876,10309,9825,9602,9660,9833,9904,9798,9558,9146
25,Male,5435,6138,7669,8506,9769,9530,10474,9675,9665,9208,9083,9729,10076,10826,10799,11043,10334,11349,9364,8179,8031,8265,10246,10872,11922,12658,11693,12077,12041,11928,12466,12539,12168,12061,12007,12161,12284,12045,12079,11410,11358,10635,10204,9385,9444,9480,9744,9998,9736,9397
26,All,16044,15945,16870,18952,19172,21988,20055,21738,20525,20515,19099,18477,19663,21097,22241,22109,22284,20444,23107,18661,15797,16142,16487,20542,21636,22970,24139,22647,23526,23597,22973,24398,24679,23924,23652,24005,24146,24638,24322,23617,22458,22102,20697,19300,18472,18771,19115,19449,19635,19130
26,Female,10231,10024,10330,10973,10214,12019,10407,11302,10714,10731,9802,9280,9826,10795,11186,11028,11087,10071,11478,9239,7705,8068,8206,10259,10764,11168,11588,11010,11501,11635,11168,11896,12136,11749,11610,12012,11933,12240,12170,11588,11050,10841,10243,9551,9370,9458,9730,9815,9749,9484
26,Male,5813,5921,6540,7979,8958,9969,9648,10436,9811,9784,9297,9197,9837,10302,11055,11081,11197,10373,11629,9422,8092,8074,8281,10283,10872,11802,12551,11637,12025,11962,11805,12502,12543,12175,12042,11993,12213,12398,12152,12029,11408,11261,10454,9749,9102,9313,9385,9634,9886,9646
27,All,14929,16642,16434,17246,19524,19421,22116,20199,21905,20663,20709,19119,18678,19884,21264,22612,22344,22442,20528,23360,18862,15885,16205,16498,20631,21571,22967,24007,22673,23437,23481,23108,24482,24715,23935,23804,24186,24342,24725,24451,23601,22243,21815,19909,18754,18077,18532,18995,19313,19472
27,Female,9625,10495,10241,10494,11227,10334,12079,10588,11386,10779,10781,9795,9417,9919,10854,11382,11188,11214,10151,11584,9340,7725,8118,8242,10318,10768,11277,11668,11069,11577,11660,11291,12011,12230,11824,11749,12114,12044,12314,12252,11586,10979,10719,9921,9353,9197,9325,9654,9765,9692
27,Male,5304,6147,6193,6752,8297,9087,10037,9611,10519,9884,9928,9324,9261,9965,10410,11230,11156,11228,10377,11776,9522,8160,8087,8256,10313,10803,11690,12339,11604,11860,11821,11817,12471,12485,12111,12055,12072,12298,12411,12199,12015,11264,11096,9988,9401,8880,9207,9341,9548,9780
